No,파일명,데이터명,데이터셋구분,이미지파일경로,라벨파일경로,너비,높이,객체개수
1,S3-N0246MS00001,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00001.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00001.txt,1920,1080,1
2,S3-N0246MS00002,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00002.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00002.txt,1920,1080,1
3,S3-N0246MS00003,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00003.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00003.txt,1920,1080,1
4,S3-N0246MS00004,fire_smoke,val,datasets/fire_smoke/images/train/S3-N0246MS00004.jpg,,1920,1080,1
5,S3-N0246MS00005,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00005.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00005.txt,1920,1080,1
6,S3-N0246MS00006,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00006.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00006.txt,1920,1080,1
7,S3-N0246MS00007,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00007.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00007.txt,1920,1080,1
8,S3-N0246MS00008,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00008.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00008.txt,1920,1080,1
9,S3-N0246MS00009,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00009.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00009.txt,1920,1080,1
10,S3-N0246MS00010,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00010.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00010.txt,1920,1080,1
11,S3-N0246MS00011,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00011.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00011.txt,1920,1080,1
12,S3-N0246MS00012,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00012.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00012.txt,1920,1080,1
13,S3-N0246MS00013,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00013.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00013.txt,1920,1080,1
14,S3-N0246MS00014,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00014.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00014.txt,1920,1080,1
15,S3-N0246MS00015,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00015.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00015.txt,1920,1080,1
16,S3-N0246MS00016,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00016.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00016.txt,1920,1080,1
17,S3-N0246MS00017,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00017.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00017.txt,1920,1080,1
18,S3-N0246MS00018,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00018.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00018.txt,1920,1080,1
19,S3-N0246MS00019,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00019.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00019.txt,1920,1080,1
20,S3-N0246MS00020,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00020.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00020.txt,1920,1080,1
21,S3-N0246MS00021,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00021.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00021.txt,1920,1080,1
22,S3-N0246MS00022,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00022.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00022.txt,1920,1080,1
23,S3-N0246MS00023,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00023.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00023.txt,1920,1080,1
24,S3-N0246MS00024,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00024.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00024.txt,1920,1080,1
25,S3-N0246MS00025,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00025.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00025.txt,1920,1080,1
26,S3-N0246MS00026,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00026.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00026.txt,1920,1080,1
27,S3-N0246MS00027,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00027.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00027.txt,1920,1080,1
28,S3-N0246MS00028,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00028.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00028.txt,1920,1080,1
29,S3-N0246MS00029,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00029.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00029.txt,1920,1080,1
30,S3-N0246MS00030,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0246MS00030.jpg,datasets/fire_smoke/labels/train/S3-N0246MS00030.txt,1920,1080,1
31,S3-N0246MS00031,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0246MS00031.jpg,datasets/fire_smoke/labels/val/S3-N0246MS00031.txt,1920,1080,1
32,S3-N0401MF00018,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00018.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00018.txt,1920,1080,1
33,S3-N0401MF00019,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00019.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00019.txt,1920,1080,1
34,S3-N0401MF00020,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00020.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00020.txt,1920,1080,1
35,S3-N0401MF00026,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00026.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00026.txt,1920,1080,1
36,S3-N0401MF00027,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00027.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00027.txt,1920,1080,1
37,S3-N0401MF00028,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00028.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00028.txt,1920,1080,1
38,S3-N0401MF00029,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00029.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00029.txt,1920,1080,1
39,S3-N0401MF00030,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00030.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00030.txt,1920,1080,1
40,S3-N0401MF00031,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00031.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00031.txt,1920,1080,1
41,S3-N0401MF00032,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00032.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00032.txt,1920,1080,1
42,S3-N0401MF00033,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00033.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00033.txt,1920,1080,1
43,S3-N0401MF00034,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00034.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00034.txt,1920,1080,1
44,S3-N0401MF00035,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00035.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00035.txt,1920,1080,1
45,S3-N0401MF00036,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00036.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00036.txt,1920,1080,1
46,S3-N0401MF00037,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00037.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00037.txt,1920,1080,1
47,S3-N0401MF00038,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00038.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00038.txt,1920,1080,1
48,S3-N0401MF00039,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00039.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00039.txt,1920,1080,1
49,S3-N0401MF00040,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00040.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00040.txt,1920,1080,1
50,S3-N0401MF00041,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00041.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00041.txt,1920,1080,1
51,S3-N0401MF00042,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00042.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00042.txt,1920,1080,1
52,S3-N0401MF00043,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00043.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00043.txt,1920,1080,1
53,S3-N0401MF00044,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00044.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00044.txt,1920,1080,1
54,S3-N0401MF00045,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00045.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00045.txt,1920,1080,1
55,S3-N0401MF00046,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00046.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00046.txt,1920,1080,1
56,S3-N0401MF00047,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00047.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00047.txt,1920,1080,1
57,S3-N0401MF00048,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00048.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00048.txt,1920,1080,1
58,S3-N0401MF00049,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00049.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00049.txt,1920,1080,1
59,S3-N0401MF00050,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00050.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00050.txt,1920,1080,1
60,S3-N0401MF00051,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00051.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00051.txt,1920,1080,1
61,S3-N0401MF00052,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00052.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00052.txt,1920,1080,1
62,S3-N0401MF00053,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00053.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00053.txt,1920,1080,1
63,S3-N0401MF00054,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00054.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00054.txt,1920,1080,1
64,S3-N0401MF00055,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00055.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00055.txt,1920,1080,1
65,S3-N0401MF00056,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00056.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00056.txt,1920,1080,1
66,S3-N0401MF00057,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00057.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00057.txt,1920,1080,1
67,S3-N0401MF00058,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00058.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00058.txt,1920,1080,1
68,S3-N0401MF00059,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00059.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00059.txt,1920,1080,1
69,S3-N0401MF00060,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00060.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00060.txt,1920,1080,1
70,S3-N0401MF00061,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00061.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00061.txt,1920,1080,1
71,S3-N0401MF00062,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00062.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00062.txt,1920,1080,1
72,S3-N0401MF00063,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00063.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00063.txt,1920,1080,1
73,S3-N0401MF00064,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00064.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00064.txt,1920,1080,1
74,S3-N0401MF00065,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00065.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00065.txt,1920,1080,1
75,S3-N0401MF00066,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00066.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00066.txt,1920,1080,1
76,S3-N0401MF00067,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00067.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00067.txt,1920,1080,1
77,S3-N0401MF00068,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00068.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00068.txt,1920,1080,1
78,S3-N0401MF00069,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00069.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00069.txt,1920,1080,1
79,S3-N0401MF00070,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00070.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00070.txt,1920,1080,1
80,S3-N0401MF00071,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00071.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00071.txt,1920,1080,1
81,S3-N0401MF00072,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00072.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00072.txt,1920,1080,1
82,S3-N0401MF00073,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00073.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00073.txt,1920,1080,1
83,S3-N0401MF00074,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00074.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00074.txt,1920,1080,1
84,S3-N0401MF00075,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00075.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00075.txt,1920,1080,1
85,S3-N0401MF00076,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00076.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00076.txt,1920,1080,1
86,S3-N0401MF00077,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00077.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00077.txt,1920,1080,1
87,S3-N0401MF00078,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00078.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00078.txt,1920,1080,1
88,S3-N0401MF00079,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00079.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00079.txt,1920,1080,1
89,S3-N0401MF00080,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00080.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00080.txt,1920,1080,1
90,S3-N0401MF00081,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00081.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00081.txt,1920,1080,1
91,S3-N0401MF00082,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00082.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00082.txt,1920,1080,1
92,S3-N0401MF00083,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00083.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00083.txt,1920,1080,1
93,S3-N0401MF00084,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00084.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00084.txt,1920,1080,1
94,S3-N0401MF00087,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00087.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00087.txt,1920,1080,1
95,S3-N0401MF00088,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00088.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00088.txt,1920,1080,1
96,S3-N0401MF00089,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00089.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00089.txt,1920,1080,1
97,S3-N0401MF00090,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00090.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00090.txt,1920,1080,1
98,S3-N0401MF00091,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00091.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00091.txt,1920,1080,1
99,S3-N0401MF00092,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00092.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00092.txt,1920,1080,1
100,S3-N0401MF00093,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00093.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00093.txt,1920,1080,1
101,S3-N0401MF00094,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00094.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00094.txt,1920,1080,1
102,S3-N0401MF00095,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00095.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00095.txt,1920,1080,1
103,S3-N0401MF00096,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00096.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00096.txt,1920,1080,1
104,S3-N0401MF00097,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00097.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00097.txt,1920,1080,1
105,S3-N0401MF00098,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00098.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00098.txt,1920,1080,1
106,S3-N0401MF00099,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00099.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00099.txt,1920,1080,1
107,S3-N0401MF00100,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00100.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00100.txt,1920,1080,1
108,S3-N0401MF00101,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00101.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00101.txt,1920,1080,1
109,S3-N0401MF00102,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00102.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00102.txt,1920,1080,1
110,S3-N0401MF00103,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00103.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00103.txt,1920,1080,1
111,S3-N0401MF00104,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00104.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00104.txt,1920,1080,1
112,S3-N0401MF00105,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00105.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00105.txt,1920,1080,1
113,S3-N0401MF00106,fire_smoke,val,datasets/fire_smoke/images/val/S3-N0401MF00106.jpg,datasets/fire_smoke/labels/val/S3-N0401MF00106.txt,1920,1080,1
114,S3-N0401MF00107,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00107.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00107.txt,1920,1080,1
115,S3-N0401MF00108,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00108.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00108.txt,1920,1080,1
116,S3-N0401MF00109,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00109.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00109.txt,1920,1080,1
117,S3-N0401MF00110,fire_smoke,train,datasets/fire_smoke/images/train/S3-N0401MF00110.jpg,datasets/fire_smoke/labels/train/S3-N0401MF00110.txt,1920,1080,1
