No,파일명,데이터명,데이터셋구분,대분류명,소분류명,이미지파일경로,너비,높이
1,Img_000_0000,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0000.jpg,900,600
2,Img_000_0001,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0001.jpg,640,480
3,Img_000_0002,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0002.jpg,900,600
4,Img_000_0003,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0003.jpg,600,336
5,Img_000_0004,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0004.jpg,470,705
6,Img_000_0005,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0005.jpg,600,400
7,Img_000_0006,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0006.jpg,640,480
8,Img_000_0007,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0007.jpg,450,300
9,Img_000_0008,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0008.jpg,400,267
10,Img_000_0009,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0009.jpg,764,573
11,Img_000_0010,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0010.jpg,640,480
12,Img_000_0011,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0011.jpg,580,435
13,Img_000_0012,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0012.jpg,740,1111
14,Img_000_0013,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0013.jpg,945,709
15,Img_000_0014,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0014.jpg,752,950
16,Img_000_0015,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0015.jpg,306,275
17,Img_000_0016,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0016.jpg,740,494
18,Img_000_0017,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0017.jpg,640,427
19,Img_000_0018,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0018.jpg,902,602
20,Img_000_0019,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0019.jpg,300,300
21,Img_000_0020,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0020.jpg,540,721
22,Img_000_0021,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0021.jpg,730,611
23,Img_000_0022,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0022.jpg,945,634
24,Img_000_0023,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0023.jpg,740,493
25,Img_000_0024,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0024.jpg,480,640
26,Img_000_0025,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0025.jpg,740,416
27,Img_000_0026,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0026.jpg,596,451
28,Img_000_0027,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0027.jpg,640,426
29,Img_000_0028,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0028.jpg,764,764
30,Img_000_0029,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0029.jpg,700,525
31,Img_000_0030,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0030.jpg,540,289
32,Img_000_0031,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0031.JPG,550,825
33,Img_000_0032,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0032.JPG,740,493
34,Img_000_0033,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0033.JPG,740,493
35,Img_000_0034,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0034.jpg,789,533
36,Img_000_0035,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0035.png,500,332
37,Img_000_0036,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0036.JPG,930,627
38,Img_000_0037,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0037.jpg,504,378
39,Img_000_0038,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0038.jpg,504,378
40,Img_000_0039,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0039.JPG,930,618
41,Img_000_0040,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0040.JPG,930,618
42,Img_000_0041,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0041.jpg,1200,900
43,Img_000_0042,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0042.jpg,900,600
44,Img_000_0043,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0043.JPG,930,618
45,Img_000_0044,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0044.JPG,930,618
46,Img_000_0045,한국음식,train,구이,갈비구이,data/한국음식/train/구이/갈비구이/Img_000_0045.JPG,930,618
